"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","passNumber","eventID","taxonID","scientificName","morphospeciesID","bulkFishCount","actualOrEstimated","identificationQualifier","identificationReferences","identifiedBy","remarks"
"9fa673da-74f2-42da-b96a-679e894c4ca6","D01","HOPB","HOPB.AOS.fish.point.04","2016-10-25T18:20Z","2016-10-25T19:00Z",3,"HOPB.20161025.04.3.e-fisher","RHIATR","Rhinichthys atratulus",NA,1,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"3cccbfc4-8e86-488d-b05e-3f114827d7f2","D01","HOPB","HOPB.AOS.fish.point.05","2016-10-25T20:00Z","2016-10-25T20:30Z",1,"HOPB.20161025.05.1.e-fisher","RHIATR","Rhinichthys atratulus",NA,7,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"068a4b79-33e2-4a76-9ae2-338197476bba","D01","HOPB","HOPB.AOS.fish.point.06","2016-10-26T14:30Z","2016-10-26T17:05Z",1,"HOPB.20161026.06.1.e-fisher","RHIATR","Rhinichthys atratulus",NA,16,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"09a421ec-c95a-41ad-ba60-c5000a502510","D01","HOPB","HOPB.AOS.fish.point.06","2016-10-26T15:50Z","2016-10-26T16:20Z",2,"HOPB.20161026.06.2.e-fisher","RHIATR","Rhinichthys atratulus",NA,40,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"6df8605a-0dd7-4b45-a1dc-439886457532","D01","HOPB","HOPB.AOS.fish.point.06","2016-10-26T16:40Z","2016-10-26T17:05Z",3,"HOPB.20161026.06.3.e-fisher","RHIATR","Rhinichthys atratulus",NA,33,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"5bbee7ca-c7d7-47f4-b5a1-181fcd32e740","D01","HOPB","HOPB.AOS.fish.point.09","2016-10-27T13:20Z","2016-10-27T14:00Z",1,"HOPB.20161027.09.1.e-fisher","RHIATR","Rhinichthys atratulus",NA,58,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"a0e13b93-a7e1-4ce0-af93-fe8eda475e54","D01","HOPB","HOPB.AOS.fish.point.09","2016-10-27T13:20Z","2016-10-27T14:00Z",1,"HOPB.20161027.09.1.e-fisher","SEMATR","Semotilus atromaculatus",NA,1,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"87bd3431-1144-430c-8d14-6f1bcd3352d0","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T15:20Z","2016-10-27T16:40Z",1,"HOPB.20161027.10.1.e-fisher","SEMATR","Semotilus atromaculatus",NA,9,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"06a72eab-ed4d-4fdd-bb1e-9c5d6b294ced","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T15:20Z","2016-10-27T16:40Z",1,"HOPB.20161027.10.1.e-fisher","RHIATR","Rhinichthys atratulus",NA,39,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"9f64bc1b-6e79-4782-9064-ee9f498908f4","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T16:00Z","2016-10-27T16:00Z",3,"HOPB.20161027.10.3.e-fisher","RHIATR","Rhinichthys atratulus",NA,46,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"1e72bb2a-9ff8-4ab1-aa85-002041f3c8b2","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T16:00Z","2016-10-27T16:00Z",3,"HOPB.20161027.10.3.e-fisher","SEMATR","Semotilus atromaculatus",NA,24,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"d956bd35-838d-41d0-a512-dd70de7268d1","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T17:00Z","2016-10-27T17:40Z",2,"HOPB.20161027.10.2.e-fisher","SEMATR","Semotilus atromaculatus",NA,38,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"0e8fc8c6-5663-423c-8c5e-c944c0ce4f2a","D01","HOPB","HOPB.AOS.fish.point.10","2016-10-27T17:00Z","2016-10-27T17:40Z",2,"HOPB.20161027.10.2.e-fisher","RHIATR","Rhinichthys atratulus",NA,67,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
"fa9369ff-2130-4325-bd5a-602e9f1c0185","D01","HOPB","HOPB.AOS.fish.point.08","2017-05-03T18:30Z","2017-05-03T19:40Z",1,"HOPB.20170503.08.1.e-fisher","SEMATR","Semotilus atromaculatus",NA,10,"actual",NA,NA,"VgRfkWGhIvy6JiXd4+ka5pQmx5Ia1DAO8H6UY/23kN4=",NA
