DomainName,DomainNumb,Full_State,Latitude,Longitude,PMC,SiteHost,SiteID,SiteName,SiteType,State,precipitation,temperature,population
Northeast,1,New Hampshire,44.06388,-71.28731,D01RT1,U.S. Forest Service,BART,Bartlett Experimental Forest,Relocatable Terrestrial,NH,1307.462548,47.14157288,0.341573795
Great Lakes,5,Wisconsin,45.508942,-89.586365,D05RT1,Steigerwaldt Land Services,STEI,Steigerwaldt Land Services,Relocatable Terrestrial,WI,801.3820669,44.97580644,0.481769334
Great Lakes,5,Wisconsin,45.493691,-89.58571,D05RT2,"University of Wisconsin, Stevens Point",TREE,Treehaven,Relocatable Terrestrial,WI,802.7583262,45.03755517,0.510338031
Great Lakes,5,Wisconsin,45.998269,-89.704767,D05RA1,Wisconsin Department of Natural Resources,LIRO,Little Rock Lake,Relocatable Aquatic,WI,815.7233583,39.09885553,0.559323404
Great Lakes,5,Michigan,46.23388,-89.53725,D05CT1,University of Notre Dame Environmental Research Center,UNDE,UNDERC,Core Terrestrial,MI,845.7007193,37.15906148,0.087390579
Great Lakes,5,Wisconsin,46.211114,-89.47825,D05CA1,University of Notre Dame Environmental Research Center,CRAM,Crampton Lake,Core Aquatic,WI,839.8745081,37.24949837,0.106562968
Tundra,18,Alaska,71.28241,-156.61936,D18RT1,Barrow Environmental Observatory,BARR,Barrow Environmental Observatory,Relocatable Terrestrial,AK,116.217025,-122.6395805,0.940423307
Tundra,18,Alaska,68.630692,-149.610636,D18RA1,Bureau of Land Management,TOOK,Toolik Lake,Relocatable Aquatic,AK,225.743159,-114.9471601,0
Tundra,18,Alaska,68.66109,-149.37047,D18CT1,Bureau of Land Management,TOOL,Toolik,Core Terrestrial,AK,224.4194893,-117.043466,2.90E-04
Tundra,18,Alaska,68.669753,-149.143018,D18CA1,Bureau of Land Management,OKSR,Oksrukuyik Creek,Core Aquatic,AK,223.8737089,-116.2906535,5.36E-04
Taiga,19,Alaska,65.15306,-147.50246,D19CA1,University of Alaska,CARI,"Caribou Creek, Caribou-Poker Creeks Research Watershed",Core Aquatic,AK,306.0882303,-47.36492983,0.047128968
Taiga,19,Alaska,65.15401,-147.50258,D19CT1,University of Alaska,BONA,Caribou-Poker Creeks Research Watershed,Core Terrestrial,AK,305.990834,-47.43541653,0.046953539
